Nama Kost,Jenis Kost,Daerah_Clean,Harga_Angka,Fasilitas_AC,Fasilitas_WiFi,Fasilitas_K_Mandi_Dalam,Fasilitas_Kloset_Duduk,Fasilitas_Kasur,Fasilitas_Akses_24_Jam
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
Kost Griya Shanta J,Putri,Lowokwaru,900000,0,1,1,1,1,1
Kost Syariah Emas 23 Tipe A,Campur,Blimbing,1645000,1,1,1,1,1,1
Kost Nadita Tipe A,Putri,Lowokwaru,1300000,1,1,1,1,1,1
Kost Bu Emi VIP,Putra,Lowokwaru,650000,0,1,0,0,1,1
Kost Cms Tipe 1,Putra,Lowokwaru,550000,0,1,0,1,1,1
Kost Mama Parti Tipe A,Putra,Lowokwaru,1300000,0,1,1,1,1,1
Kost The Rics,Putra,Lowokwaru,1700000,1,1,1,1,1,1
Kost Griya Fikarda 2,Putri,Klojen,1700000,1,1,1,1,1,0
Kost Suhartono Tlogomas Tipe B,Putri,Lowokwaru,408240,0,1,0,0,1,0
Kost Rara Dwiga Tipe A,Putra,Lowokwaru,1714200,1,1,1,1,1,1
Kost Nadifsa 2 Tipe Studio,Campur,Blimbing,1350000,1,0,0,1,1,1
Kost Deyna Boarding House Tipe 2A,Putra,Lowokwaru,1400000,1,1,1,1,1,1
Kost Sidomulyo Jaya Superior,Putri,Blimbing,375000,0,1,1,0,1,1
Kost Griya Sakinah Tipe A,Putri,Lowokwaru,675000,0,1,0,1,1,1
Kost Mama Parti Tipe B,Putra,Lowokwaru,1200000,0,1,1,1,1,1
Kost Graha Permata,Putra,Lowokwaru,450000,0,1,0,0,1,0
Kost Dinoyo 51,Putri,Lowokwaru,650000,0,1,0,0,1,1
Kost Bunga Andong Tipe A,Putri,Lowokwaru,550000,0,1,0,1,1,1
Kost House Of Telagawarna Tipe B2,Putri,Lowokwaru,750000,0,1,1,1,1,0
Kost Yasmine Tipe A,Putri,Klojen,600000,0,1,0,0,1,1
